airport_group,iata_code,id,icao_code,airport_type,airport_name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,gps_code,local_code,home_link,wikipedia_link,keywords
A,FDE,29254,ENBL,small_airport,"Førde Airport, Bringeland",61.391102,5.75694,1046.0,EU,NO,NO-46,Førde,yes,ENBL,ENBL,,https://avinor.no/en/airport/forde-airport/,https://en.wikipedia.org/wiki/F%C3%B8rde_Airport%2C_Bringeland,bringeland
A,SDN,29280,ENSD,small_airport,"Sandane Airport, Anda",61.830002,6.10583,196.0,EU,NO,NO-46,Sandane,yes,ENSD,ENSD,,https://avinor.no/en/airport/sandane-airport/,https://en.wikipedia.org/wiki/Sandane_Airport%2C_Anda,
A,SOG,28116,ENSG,small_airport,"Sogndal Airport, Haukåsen",61.156101,7.13778,1633.0,EU,NO,NO-46,Sogndal,yes,ENSG,ENSG,,https://avinor.no/en/airport/sogndal-airport/,"https://en.wikipedia.org/wiki/Sogndal_Airport,_Hauk%C3%A5sen",Haukåsen
B,HOV,28114,ENOV,medium_airport,"Ørsta-Volda Airport, Hovden",62.180000305176,6.0741000175476,243.0,EU,NO,NO-15,Ørsta,yes,ENOV,ENOV,,https://avinor.no/en/airport/orsta-volda-airport/,https://en.wikipedia.org/wiki/%C3%98rsta-Volda_Airport%2C_Hovden,
B,MOL,2585,ENML,medium_airport,"Molde Airport, Årø",62.744701,7.2625,10.0,EU,NO,NO-15,Årø,yes,ENML,ENML,,https://avinor.no/en/airport/molde-airport/,https://en.wikipedia.org/wiki/Molde_Airport%2C_%C3%85r%C3%B8,Aro
B,RRS,2591,ENRO,medium_airport,Røros Airport,62.578399658203,11.342300415039,2054.0,EU,NO,NO-50,Røros,yes,ENRO,ENRO,,https://avinor.no/en/airport/roros-airport/,https://en.wikipedia.org/wiki/R%C3%B8ros_Airport,Roros
C,OSY,29267,ENNM,small_airport,Namsos Airport,64.472198,11.5786,7.0,EU,NO,NO-50,Namsos,yes,ENNM,ENNM,,https://avinor.no/en/airport/namsos-airport/,https://en.wikipedia.org/wiki/Namsos_Airport%2C_H%C3%B8knes%C3%B8ra,"Namsos lufthavn, Høknesøra"
C,RVK,29278,ENRM,medium_airport,"Rørvik Airport, Ryum",64.838302612305,11.14610004425,14.0,EU,NO,NO-50,Rørvik,yes,ENRM,ENRM,,https://avinor.no/en/airport/rorvik-airport/,https://en.wikipedia.org/wiki/R%C3%B8rvik_Airport%2C_Ryum,
C,SOJ,2596,ENSR,medium_airport,Sørkjosen Airport,69.786797,20.9594,16.0,EU,NO,NO-55,Sørkjosen,yes,ENSR,ENSR,,https://avinor.no/en/airport/sorkjosen-airport/,https://en.wikipedia.org/wiki/S%C3%B8rkjosen_Airport,
D,MJF,2586,ENMS,medium_airport,"Mosjøen Airport, Kjærstad",65.783997,13.2149,237.0,EU,NO,NO-18,Mosjøen,yes,ENMS,ENMS,,https://avinor.no/en/airport/mosjoen-airport/,https://en.wikipedia.org/wiki/Mosj%C3%B8en_Airport%2C_Kj%C3%A6rstad,
D,MQN,29277,ENRA,medium_airport,"Mo i Rana Airport, Røssvoll",66.363899230957,14.301400184631,229.0,EU,NO,NO-18,Mo i Rana,yes,ENRA,ENRA,,https://avinor.no/en/airport/mo-i-rana-airport/,https://en.wikipedia.org/wiki/Mo_i_Rana_Airport%2C_R%C3%B8ssvoll,
D,SSJ,2598,ENST,medium_airport,"Sandnessjøen Airport, Stokka",65.956802,12.4689,56.0,EU,NO,NO-18,Alstahaug,yes,ENST,ENST,,https://avinor.no/en/airport/sandnessjoen-airport/,https://en.wikipedia.org/wiki/Sandnessj%C3%B8en_Airport%2C_Stokka,
E,LKN,29264,ENLK,medium_airport,Leknes Airport,68.152496337891,13.609399795532,78.0,EU,NO,NO-18,Leknes,yes,ENLK,ENLK,,https://avinor.no/en/airport/leknes-airport/,https://en.wikipedia.org/wiki/Leknes_Airport,Leknes lufthavn
E,RET,29279,ENRS,small_airport,Røst Airport,67.526482,12.101575,7.0,EU,NO,NO-18,Røst,yes,ENRS,ENRS,,https://avinor.no/en/airport/rost-airport/,https://en.wikipedia.org/wiki/R%C3%B8st_Airport,Rost Airport
E,SVJ,29281,ENSH,medium_airport,"Svolvær Airport, Helle",68.243301,14.6692,27.0,EU,NO,NO-18,Svolvær,yes,ENSH,ENSH,,https://avinor.no/en/airport/svolvar-airport/,https://en.wikipedia.org/wiki/Svolv%C3%A6r_Airport%2C_Helle,"Svolvær lufthavn, Helle"
F,BJF,2571,ENBS,medium_airport,Båtsfjord Airport,70.60025,29.692612,490.0,EU,NO,NO-56,Båtsfjord,yes,ENBS,ENBS,,https://avinor.no/en/airport/batsfjord-airport/,https://en.wikipedia.org/wiki/B%C3%A5tsfjord_Airport,
F,BVG,29255,ENBV,medium_airport,Berlevåg Airport,70.871517,29.034097,42.0,EU,NO,NO-56,Berlevåg,yes,ENBV,ENBV,,https://avinor.no/en/airport/berlevag-airport/,https://en.wikipedia.org/wiki/Berlev%C3%A5g_Airport,
F,VAW,2597,ENSS,medium_airport,"Vardø Airport, Svartnes",70.3554,31.044901,42.0,EU,NO,NO-56,Vardø,yes,ENSS,ENSS,,https://avinor.no/en/airport/vardo-airport/,https://en.wikipedia.org/wiki/Vard%C3%B8_Airport%2C_Svartnes,
G,HAA,2580,ENHK,small_airport,Hasvik Airport,70.486702,22.1397,21.0,EU,NO,NO-56,Hasvik,yes,ENHK,ENHK,,https://avinor.no/en/airport/hasvik-airport/,https://en.wikipedia.org/wiki/Hasvik_Airport,
G,MEH,29265,ENMH,medium_airport,Mehamn Airport,71.029701,27.8267,39.0,EU,NO,NO-56,Mehamn,yes,ENMH,ENMH,,https://avinor.no/en/airport/mehamn-airport/,https://en.wikipedia.org/wiki/Mehamn_Airport,
G,VDS,29284,ENVD,medium_airport,Vadsø Airport,70.0653,29.8447,127.0,EU,NO,NO-56,Vadsø,yes,ENVD,ENVD,,https://avinor.no/en/airport/vadso-airport/,https://en.wikipedia.org/wiki/Vads%C3%B8_Airport,
